Elapsed time,AECG1,AECG2,AECG3,AECG4
'0:00.194',6.9,4.9,7,9.4
'0:00.195',6.8,4.9,7.3,9.5
'0:00.196',6.6,5,7.6,9.6
'0:00.197',6.4,5.1,8,9.7
'0:00.198',6.1,5.3,8.4,9.7
'0:00.199',5.9,5.5,8.6,9.6
'0:00.200',5.5,5.9,8.9,9.6
'0:00.201',5.2,6.3,9,9.6
'0:00.202',5,6.5,9.1,9.6
'0:00.203',4.7,6.8,9.1,9.5
'0:00.204',4.5,7,9,9.3
'0:00.205',4.3,7.2,8.9,9.1
'0:00.206',4.1,7.4,8.7,8.8
'0:00.207',4,7.6,8.4,8.5
'0:00.208',4,7.8,8.1,8.2
'0:00.209',4,7.8,7.7,7.9
'0:00.210',4.1,7.7,7.1,7.6
'0:00.211',4.3,7.5,6.6,7.3
'0:00.212',4.4,7.3,6,7
'0:00.213',4.4,7.1,5.3,6.7
'0:00.214',4.5,6.8,4.6,6.6
'0:00.215',4.5,6.5,3.8,6.4
'0:00.216',4.6,6.1,3.1,6.2
'0:00.217',4.6,5.7,2.3,6
'0:00.218',4.7,5.2,1.5,5.6
'0:00.219',4.8,4.7,0.8,5.1
'0:00.220',5,4.1,-0.1,4.6
'0:00.221',5.3,3.5,-0.9,3.9
'0:00.222',5.7,2.7,-1.8,3.1
'0:00.223',6.2,1.8,-2.8,2.1
'0:00.224',6.7,0.7,-3.8,1
'0:00.225',7.3,-0.7,-5,-0.3
'0:00.226',8,-2.5,-6.2,-1.7
'0:00.227',8.8,-4.5,-7.5,-3.3
'0:00.228',9.7,-6.8,-8.9,-5
'0:00.229',10.7,-9.4,-10.3,-6.9
'0:00.230',11.6,-12.3,-11.9,-8.9
'0:00.231',12.5,-15.8,-13.5,-11
'0:00.232',13.5,-19.6,-15.2,-13.3
'0:00.233',14.5,-23.6,-17,-15.6
'0:00.234',15.6,-27.7,-18.9,-18.1
'0:00.235',16.7,-32.1,-20.9,-20.8
'0:00.236',17.6,-36.9,-22.9,-23.6
'0:00.237',18.2,-42.4,-25,-26.6
'0:00.238',18.7,-48.3,-27,-29.7
'0:00.239',18.9,-54.5,-29.1,-32.9
'0:00.240',19,-60.5,-31,-36.2
'0:00.241',18.9,-66.5,-32.9,-39.4
'0:00.242',18.3,-72.4,-34.5,-42.6
'0:00.243',17.2,-78.5,-35.9,-45.8
'0:00.244',15.4,-84.6,-37,-49
'0:00.245',12.9,-90.6,-37.7,-52.2
'0:00.246',9.7,-96.3,-38,-55.2
'0:00.247',6,-101.5,-38,-58.1
'0:00.248',2,-106.3,-37.6,-60.7
'0:00.249',-2.1,-110.7,-37.1,-63
'0:00.250',-5.8,-114.4,-36.5,-64.9
'0:00.251',-8.9,-117.3,-36,-66.3
'0:00.252',-11.1,-119.2,-35.6,-67.2
'0:00.253',-12.4,-119.9,-35.3,-67.6
'0:00.254',-12.8,-119.6,-35.1,-67.5
'0:00.255',-12.6,-118.3,-34.9,-66.8
'0:00.256',-12.1,-116,-34.4,-65.6
'0:00.257',-11.5,-112.8,-33.6,-64
'0:00.258',-11.1,-108.6,-32.4,-61.8
'0:00.259',-11.2,-103.5,-30.8,-59.2
'0:00.260',-11.7,-97.6,-28.7,-55.9
'0:00.261',-12.7,-91.1,-26.3,-52.2
'0:00.262',-14,-84,-23.4,-48.3
'0:00.263',-15.6,-76.4,-20.3,-44.1
'0:00.264',-17.4,-68.3,-17,-39.8
'0:00.265',-19.4,-59.9,-13.5,-35.4
'0:00.266',-21.6,-51.4,-9.9,-31
'0:00.267',-23.8,-43,-6.2,-26.5
'0:00.268',-26.1,-34.7,-2.6,-22.1
'0:00.269',-28.6,-26.6,1.1,-17.8
'0:00.270',-31.2,-18.9,4.7,-13.6
'0:00.271',-33.9,-11.6,8.2,-9.7
'0:00.272',-36.8,-4.9,11.6,-6
'0:00.273',-39.6,0.9,14.8,-2.6
'0:00.274',-42.3,6,17.8,0.4
'0:00.275',-44.8,10.4,20.4,3.1
'0:00.276',-47,14.2,22.7,5.5
'0:00.277',-48.7,17.5,24.6,7.6
'0:00.278',-49.8,20.2,26,9.4
'0:00.279',-50.1,22.4,26.9,10.9
'0:00.280',-49.4,24.1,27.3,12.1
'0:00.281',-47.8,25.6,27,13
'0:00.282',-45.2,26.8,26.2,13.6
'0:00.283',-41.5,27.8,24.8,14
'0:00.284',-37,28.7,22.9,14.2
'0:00.285',-31.7,29.3,20.5,14.4
'0:00.286',-25.9,29.7,17.8,14.4
'0:00.287',-19.7,29.9,15,14.2
'0:00.288',-13.4,30,12.1,13.9
'0:00.289',-7.1,29.8,9.3,13.5
'0:00.290',-1.1,29.6,6.5,13.1
'0:00.291',4.6,29,3.9,12.7
'0:00.292',9.7,28.2,1.5,12.1
'0:00.293',14.1,27.1,-0.6,11.6
'0:00.294',17.9,25.9,-2.4,11
'0:00.295',21.1,24.7,-4,10.5
'0:00.296',23.7,23.4,-5.3,10
'0:00.297',25.7,22.3,-6.4,9.6
'0:00.298',27.1,21.3,-7.3,9.1
'0:00.299',28,20.2,-7.9,8.6
'0:00.300',28.4,19.3,-8.3,8.1
'0:00.301',28.5,18.4,-8.6,7.7
'0:00.302',28.3,17.6,-8.7,7.2
'0:00.303',27.8,16.7,-8.7,6.9
'0:00.304',27.2,15.9,-8.7,6.5
'0:00.305',26.5,15,-8.6,6.1
'0:00.306',25.7,14.2,-8.5,5.7
'0:00.307',24.7,13.4,-8.4,5.4
'0:00.308',23.6,12.6,-8.2,5.2
'0:00.309',22.6,11.7,-8,4.9
'0:00.310',21.6,10.7,-7.8,4.7
'0:00.311',20.7,9.7,-7.6,4.5
'0:00.312',19.8,8.8,-7.4,4.3
'0:00.313',19,7.9,-7.1,4.1
'0:00.314',18.1,7,-6.9,4
'0:00.315',17.2,6.1,-6.6,3.8
'0:00.316',16.4,5.3,-6.3,3.6
'0:00.317',15.6,4.6,-6,3.4
'0:00.318',14.8,4,-5.7,3.2
'0:00.319',14.1,3.5,-5.4,3
'0:00.320',13.3,2.9,-5.1,2.8
'0:00.321',12.3,2.4,-4.7,2.6
'0:00.322',11.4,1.9,-4.4,2.3
'0:00.323',10.4,1.4,-4,2
'0:00.324',9.4,0.9,-3.7,1.5
'0:00.325',8.5,0.4,-3.3,1
'0:00.326',7.6,-0.2,-3,0.5
'0:00.327',6.6,-0.7,-2.6,0.1
'0:00.328',5.7,-1.1,-2.3,-0.3
'0:00.329',4.9,-1.4,-1.9,-0.5
'0:00.330',4.2,-1.6,-1.6,-0.8
'0:00.331',3.7,-1.8,-1.2,-0.9
'0:00.332',3.1,-2.1,-0.9,-1
'0:00.333',2.5,-2.4,-0.6,-1
'0:00.334',1.8,-2.6,-0.4,-1
'0:00.335',1.1,-2.7,-0.1,-1
'0:00.336',0.5,-2.9,0.1,-0.9
'0:00.337',0.1,-3.2,0.3,-0.7
'0:00.338',-0.1,-3.6,0.4,-0.4
'0:00.339',-0.3,-3.8,0.5,-0.1
'0:00.340',-0.3,-3.8,0.5,0.2
'0:00.341',-0.3,-3.4,0.5,0.3
'0:00.342',0,-3,0.4,0.3
'0:00.343',0.6,-2.4,0.3,0.2
'0:00.344',1.3,-1.9,0,-0.1
'0:00.345',2.1,-1.3,-0.2,-0.5
'0:00.346',3.1,-0.7,-0.5,-1.1
'0:00.347',4.2,0.1,-0.8,-1.9
'0:00.348',5.4,0.7,-0.9,-2.8
'0:00.349',6.5,1.4,-1,-3.9
'0:00.350',7.5,2,-1,-5
'0:00.351',8.3,2.7,-0.9,-6
'0:00.352',8.8,3.4,-0.7,-6.9
'0:00.353',9.4,3.9,-0.6,-7.4
'0:00.354',10.1,4.3,-0.7,-7.7
'0:00.355',10.7,4.5,-1,-7.4
'0:00.356',11.1,4.4,-1.4,-6.8
'0:00.357',10.9,4.1,-1.6,-5.9
'0:00.358',10.2,3.7,-1.6,-4.9
'0:00.359',9.1,3.2,-1.4,-4
'0:00.360',7.8,2.5,-1,-3.3
'0:00.361',6.4,1.7,-0.7,-2.7
'0:00.362',5.1,1,-0.3,-2.2
'0:00.363',3.9,0.3,-0.1,-1.7
'0:00.364',3,-0.3,0.1,-1.2
'0:00.365',2.5,-0.8,0.1,-0.8
'0:00.366',2.2,-1.3,0.1,-0.5
'0:00.367',2.1,-1.6,-0.1,-0.4
'0:00.368',2.1,-1.9,-0.3,-0.3
'0:00.369',2.2,-2.1,-0.5,-0.3
'0:00.370',2.3,-2.2,-0.7,-0.3
'0:00.371',2.4,-2.3,-0.7,-0.3
'0:00.372',2.6,-2.4,-0.7,-0.4
'0:00.373',2.7,-2.6,-0.5,-0.5
'0:00.374',2.7,-2.9,-0.4,-0.7
'0:00.375',2.8,-3.2,-0.4,-0.7
'0:00.376',2.8,-3.5,-0.4,-0.8
'0:00.377',2.9,-3.6,-0.4,-0.7
'0:00.378',2.9,-3.8,-0.4,-0.7
'0:00.379',2.8,-3.8,-0.5,-0.7
'0:00.380',2.7,-3.9,-0.5,-0.6
'0:00.381',2.6,-4,-0.5,-0.6
'0:00.382',2.7,-4,-0.6,-0.6
'0:00.383',2.7,-3.9,-0.6,-0.6
'0:00.384',2.7,-3.8,-0.7,-0.5
'0:00.385',2.6,-3.7,-0.7,-0.5
'0:00.386',2.5,-3.6,-0.8,-0.5
'0:00.387',2.4,-3.5,-0.9,-0.4
'0:00.388',2.3,-3.3,-0.9,-0.5
'0:00.389',2.3,-3.2,-0.9,-0.7
'0:00.390',2.2,-3.1,-0.9,-0.8
'0:00.391',2.1,-3,-1,-1
'0:00.392',1.9,-3,-1,-1.1
'0:00.393',1.7,-3,-1,-1.2
'0:00.394',1.6,-3.1,-1,-1.3
'0:00.395',1.4,-3.3,-1,-1.4
'0:00.396',1.2,-3.5,-0.9,-1.5
'0:00.397',1.1,-3.6,-0.8,-1.6
'0:00.398',0.9,-3.7,-0.8,-1.7
'0:00.399',0.7,-3.8,-0.7,-1.8
'0:00.400',0.5,-3.9,-0.6,-1.9
'0:00.401',0.4,-4,-0.6,-1.9
'0:00.402',0.3,-4.2,-0.5,-1.8
'0:00.403',0.2,-4.5,-0.5,-1.8
'0:00.404',0.1,-4.7,-0.5,-1.8
'0:00.405',0,-4.8,-0.5,-1.8
'0:00.406',-0.1,-4.8,-0.5,-1.8
'0:00.407',-0.1,-4.8,-0.5,-1.8
'0:00.408',-0.1,-4.8,-0.5,-1.8
'0:00.409',-0.1,-4.8,-0.5,-1.8
'0:00.410',-0.1,-4.7,-0.6,-1.8
'0:00.411',-0.1,-4.7,-0.6,-1.8
'0:00.412',-0.1,-4.7,-0.7,-1.8
'0:00.413',-0.1,-4.7,-0.7,-1.9
'0:00.414',-0.2,-4.7,-0.8,-1.8
'0:00.415',-0.3,-4.8,-0.8,-1.8
'0:00.416',-0.3,-4.9,-0.8,-1.7
'0:00.417',-0.3,-5,-0.8,-1.5
'0:00.418',0,-5.1,-0.8,-1.4
'0:00.419',0.3,-5.2,-0.8,-1.4
'0:00.420',0.7,-5.2,-0.8,-1.4
'0:00.421',1.1,-5.2,-0.8,-1.5
'0:00.422',1.6,-5.2,-0.9,-1.7
'0:00.423',2.1,-5.1,-0.9,-1.8
'0:00.424',2.6,-5.1,-0.9,-1.9
'0:00.425',3,-5.1,-0.9,-2
'0:00.426',3.4,-5.2,-1,-2.1
'0:00.427',3.7,-5.4,-1,-2.1
'0:00.428',4,-5.7,-1.1,-2.2
'0:00.429',4.2,-6.1,-1.1,-2.3
'0:00.430',4.1,-6.4,-1.1,-2.3
'0:00.431',3.8,-6.8,-1.1,-2.5
'0:00.432',3.5,-7.1,-1.1,-2.6
'0:00.433',3.4,-7.4,-1.2,-2.8
'0:00.434',3.6,-7.6,-1.3,-2.9
'0:00.435',3.9,-7.7,-1.3,-3.1
'0:00.436',3.9,-7.8,-1.4,-3.3
'0:00.437',3.6,-7.9,-1.4,-3.4
'0:00.438',2.9,-8,-1.4,-3.5
'0:00.439',2.2,-8.1,-1.5,-3.6
'0:00.440',1.8,-8.2,-1.6,-3.9
'0:00.441',1.8,-8.3,-1.6,-4.1
'0:00.442',1.9,-8.4,-1.6,-4.3
'0:00.443',1.9,-8.5,-1.6,-4.6
'0:00.444',1.6,-8.7,-1.6,-4.7
'0:00.445',1.4,-9,-1.6,-4.8
'0:00.446',1.1,-9.2,-1.6,-4.9
'0:00.447',1,-9.6,-1.6,-4.9
'0:00.448',1,-9.8,-1.6,-5
'0:00.449',1,-10.2,-1.7,-5
'0:00.450',1.1,-10.5,-1.8,-5.1
'0:00.451',1.1,-10.9,-1.9,-5.1
'0:00.452',1.3,-11.3,-2.1,-5
'0:00.453',1.5,-11.6,-2.3,-4.9
'0:00.454',1.8,-11.9,-2.4,-4.8
'0:00.455',2.3,-12,-2.5,-4.8
'0:00.456',2.7,-12.2,-2.6,-4.8
'0:00.457',3.2,-12.3,-2.6,-4.9
'0:00.458',3.7,-12.3,-2.7,-5
'0:00.459',4.2,-12.2,-2.7,-5.1
'0:00.460',4.7,-12.1,-2.7,-5.1
'0:00.461',5.2,-11.8,-2.8,-5.1
'0:00.462',5.8,-11.6,-2.8,-5.1
'0:00.463',6.2,-11.3,-2.8,-5.2
'0:00.464',6.6,-10.9,-2.9,-5.3
'0:00.465',6.8,-10.5,-2.9,-5.6
'0:00.466',6.9,-10,-2.9,-5.8
'0:00.467',7,-9.7,-2.9,-6.1
'0:00.468',7.1,-9.5,-2.9,-6.3
'0:00.469',7.1,-9.3,-2.9,-6.5
'0:00.470',7,-9.1,-3,-6.7
'0:00.471',6.9,-9.1,-3,-6.8
'0:00.472',6.8,-9.2,-3.1,-6.9
'0:00.473',6.6,-9.7,-3.1,-7.1
'0:00.474',6.5,-10.3,-3.2,-7.2
'0:00.475',6.3,-10.9,-3.3,-7.3
'0:00.476',6.1,-11.3,-3.3,-7.4
'0:00.477',5.9,-11.6,-3.4,-7.4
'0:00.478',5.8,-11.7,-3.4,-7.3
'0:00.479',5.6,-11.9,-3.5,-7.2
'0:00.480',5.5,-11.9,-3.6,-7.1
'0:00.481',5.4,-11.8,-3.6,-7
'0:00.482',5.2,-11.4,-3.8,-6.9
'0:00.483',5.1,-11,-3.9,-6.7
'0:00.484',4.9,-10.5,-4,-6.6
'0:00.485',4.8,-10.2,-4.1,-6.4
'0:00.486',4.7,-10,-4.2,-6.3
'0:00.487',4.6,-9.7,-4.3,-6.3
'0:00.488',4.5,-9.5,-4.2,-6.2
'0:00.489',4.3,-9.3,-4.2,-6.1
'0:00.490',4.2,-9.2,-4.1,-6
'0:00.491',4.2,-9.2,-4.1,-5.9
'0:00.492',4.1,-9.3,-4.1,-5.9
'0:00.493',4.2,-9.4,-4.1,-5.9
'0:00.494',4.2,-9.6,-4,-5.9
'0:00.495',4.1,-9.8,-4,-5.9
'0:00.496',4.1,-9.9,-4,-6
'0:00.497',4.1,-10.1,-4,-6
'0:00.498',4.1,-10.2,-4,-6
'0:00.499',4,-10.2,-4,-6
'0:00.500',3.9,-10.3,-4,-6.1
'0:00.501',3.8,-10.4,-4,-6.3
'0:00.502',3.5,-10.7,-4,-6.4
'0:00.503',3.2,-10.9,-4.1,-6.5
'0:00.504',2.9,-11,-4.1,-6.5
'0:00.505',2.7,-11.2,-4.2,-6.4
'0:00.506',2.4,-11.3,-4.3,-6.3
'0:00.507',2.2,-11.5,-4.3,-6.1
'0:00.508',2,-11.7,-4.3,-6.1
'0:00.509',1.7,-11.9,-4.4,-6.1
'0:00.510',1.6,-12.1,-4.4,-6
'0:00.511',1.5,-12.3,-4.4,-6
'0:00.512',1.5,-12.4,-4.5,-6.1
'0:00.513',1.5,-12.6,-4.5,-6.3
'0:00.514',1.5,-12.8,-4.5,-6.5
'0:00.515',1.5,-12.9,-4.5,-6.6
'0:00.516',1.7,-13,-4.6,-6.8
'0:00.517',1.9,-13.1,-4.6,-6.7
'0:00.518',2.2,-13.2,-4.7,-6.7
'0:00.519',2.4,-13.2,-4.7,-6.6
'0:00.520',2.7,-13.1,-4.7,-6.6
'0:00.521',3,-12.9,-4.7,-6.6
'0:00.522',3.3,-12.6,-4.7,-6.6
'0:00.523',3.6,-12.2,-4.7,-6.4
'0:00.524',3.9,-12,-4.7,-6
'0:00.525',4,-11.9,-4.7,-5.6
'0:00.526',4.1,-11.9,-4.7,-5.2
'0:00.527',4.1,-11.8,-4.7,-4.9
'0:00.528',4.2,-11.6,-4.6,-4.7
'0:00.529',4.1,-11.6,-4.6,-4.6
'0:00.530',3.8,-11.9,-4.7,-4.4
'0:00.531',3.2,-12.7,-4.7,-4.3
'0:00.532',2.6,-13.5,-4.7,-4.3
'0:00.533',2.3,-13.9,-4.7,-4.4
'0:00.534',2.6,-13.6,-4.7,-4.5
'0:00.535',2.9,-13.2,-4.7,-4.7
'0:00.536',2.9,-13.2,-4.7,-4.9
'0:00.537',2.3,-14,-4.7,-5.1
'0:00.538',1.2,-15.5,-4.7,-5.3
'0:00.539',0.2,-16.9,-4.7,-5.6
'0:00.540',-0.4,-17.5,-4.7,-5.9
'0:00.541',-0.4,-17.5,-4.6,-6
'0:00.542',-0.1,-17.2,-4.6,-6.2
'0:00.543',0.1,-17,-4.6,-6.3
'0:00.544',0.2,-16.7,-4.5,-6.4
'0:00.545',0.5,-16.3,-4.5,-6.4
'0:00.546',0.9,-15.4,-4.4,-6.4
'0:00.547',1.6,-14.2,-4.4,-6.5
'0:00.548',2.2,-13,-4.4,-6.4
'0:00.549',2.7,-12,-4.3,-6.4
'0:00.550',3.1,-11.1,-4.2,-6.3
'0:00.551',3.5,-10.2,-4.2,-6.3
'0:00.552',3.9,-9.2,-4.1,-6.1
'0:00.553',4.2,-8.3,-4,-6
'0:00.554',4.4,-7.6,-4,-5.9
'0:00.555',4.4,-7.2,-3.9,-5.8
'0:00.556',4.3,-7.2,-3.8,-5.7
'0:00.557',4.3,-7.4,-3.7,-5.7
'0:00.558',4.1,-7.9,-3.6,-5.7
'0:00.559',3.9,-8.5,-3.5,-5.7
'0:00.560',3.6,-9.3,-3.4,-5.7
'0:00.561',3.3,-10.2,-3.3,-5.7
'0:00.562',3,-11.3,-3.2,-5.7
'0:00.563',2.6,-12.4,-3.2,-5.7
'0:00.564',2.1,-13.7,-3,-5.8
'0:00.565',1.6,-14.9,-2.9,-5.9
'0:00.566',1.1,-16,-2.8,-6
